account_id,open_date,statement_frequency,district_name,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
1,1995-03-24,monthly,Pisek,1,0.0,False,,,,,,12600,19,102,30415,1000
2,1993-02-26,monthly,Hl.m. Praha,2,0.0,True,80952.0,3373.0,24.0,A,False,30354,14,152,69302,1100
3,1997-07-07,monthly,Kolin,2,0.0,False,,,,,,11253,24,46,53447,1000
4,1996-02-21,monthly,Pribram,1,0.0,False,,,,,,5553,61,65,34870,800
5,1997-05-30,monthly,Cesky Krumlov,1,0.0,False,,,,,,5017,4,35,32036,600
6,1994-09-27,monthly,Trutnov,1,0.0,False,,,,,,6669,70,99,51879,900
7,1996-11-24,monthly,Prostejov,1,1.0,False,,,,,,33975,30,51,99675,900
8,1995-09-21,monthly,Hodonin,2,0.0,False,,,,,,30712,37,84,79255,900
9,1993-01-27,monthly,Karvina,1,0.0,False,,,,,,45691,5,183,85444,400
10,1996-08-28,monthly,Brno - mesto,1,0.0,False,,,,,,26529,12,59,83410,1100
11,1995-10-10,monthly,Sumperk,1,0.0,False,,,,,,3494,10,79,40389,300
12,1997-04-15,monthly,Tabor,2,0.0,False,,,,,,5938,43,39,29053,1100
13,1997-08-17,monthly,Sumperk,2,0.0,False,,,,,,6803,45,31,29751,1000
14,1996-11-27,monthly,Pardubice,1,1.0,False,,,,,,22137,17,52,59453,400
15,1993-10-02,monthly,Karvina,1,0.0,False,,,,,,25598,62,129,66671,800
16,1997-09-23,monthly,Pribram,1,0.0,False,,,,,,31262,24,32,60274,500
17,1997-01-08,monthly,Hl.m. Praha,2,0.0,False,,,,,,49483,100,33,100815,700
19,1995-04-07,monthly,Tabor,1,0.0,True,30276.0,2523.0,12.0,B,True,22708,4,152,58158,-10605
20,1996-08-24,monthly,Ostrava - mesto,1,0.0,False,,,,,,3005,30,53,20458,500
21,1997-12-06,monthly,Brno - mesto,1,0.0,False,,,,,,14123,49,34,61685,1100
22,1994-03-23,monthly,Hl.m. Praha,1,0.0,False,,,,,,25310,27,118,68160,1100
23,1993-05-22,monthly,Sokolov,1,0.0,False,,,,,,33132,40,137,95299,800
24,1996-12-05,monthly,Ostrava - mesto,1,0.0,False,,,,,,18926,60,52,49091,1000
25,1996-07-28,monthly,Frydek - Mistek,1,0.0,True,30276.0,2523.0,12.0,A,False,49734,67,82,134210,900
26,1993-08-08,monthly,Usti nad Orlici,1,0.0,False,,,,,,37203,69,133,83469,800
27,1993-09-26,monthly,Opava,1,0.0,False,,,,,,12940,14,135,40464,900
29,1994-11-24,monthly,Melnik,2,0.0,False,,,,,,26667,29,100,59950,700
30,1995-03-04,monthly,Liberec,1,0.0,False,,,,,,49290,4,130,149154,400
31,1994-04-27,monthly,Frydek - Mistek,1,0.0,False,,,,,,49940,62,164,137131,800
32,1995-08-28,monthly,Kolin,1,0.0,False,,,,,,24822,13,82,90565,700
33,1993-08-26,monthly,Domazlice,1,1.0,False,,,,,,35384,22,131,123696,600
35,1993-07-07,monthly,Prerov,1,0.0,False,,,,,,5446,51,127,32520,600
36,1993-07-01,monthly,Hl.m. Praha,1,0.0,False,,,,,,29778,74,134,85055,500
37,1997-08-18,monthly,Strakonice,1,0.0,True,318480.0,5308.0,60.0,D,False,49437,38,36,104762,-1011
39,1993-09-22,monthly,Liberec,1,0.0,False,,,,,,6474,39,124,36322,1100
40,1993-10-25,monthly,Zlin,1,0.0,False,,,,,,9753,15,133,41560,700
41,1997-08-02,monthly,Olomouc,1,0.0,False,,,,,,25938,44,36,100992,800
42,1996-08-16,monthly,Most,1,0.0,False,,,,,,13659,37,63,45322,800
43,1994-06-12,monthly,Liberec,1,1.0,False,,,,,,35862,92,112,99572,1100
44,1993-05-10,monthly,Ceska Lipa,1,0.0,False,,,,,,4200,54,131,29482,400
45,1997-09-02,monthly,Zlin,1,0.0,False,,,,,,25455,5,41,52970,300
47,1993-08-08,monthly,Jicin,1,0.0,False,,,,,,52886,59,133,108509,300
48,1996-11-17,monthly,Tabor,2,1.0,False,,,,,,34221,61,52,72803,700
49,1997-04-06,monthly,Hl.m. Praha,1,0.0,False,,,,,,4654,13,43,24004,300
50,1994-05-06,monthly,Hl.m. Praha,1,0.0,False,,,,,,24195,46,117,90088,900
51,1996-05-11,monthly,Bruntal,1,1.0,False,,,,,,30950,76,63,106203,800
52,1997-01-29,monthly,Jindrichuv Hradec,1,0.0,False,,,,,,38295,4,48,83077,900
53,1995-06-07,monthly,Vsetin,1,0.0,False,,,,,,4277,15,87,27519,700
54,1995-05-02,monthly,Kladno,1,0.0,False,,,,,,3421,12,89,29756,1000
55,1996-02-19,monthly,Strakonice,1,0.0,False,,,,,,4629,32,65,23445,300
56,1994-05-16,monthly,Svitavy,1,0.0,False,,,,,,21890,48,118,78757,900
57,1995-05-21,monthly,Hl.m. Praha,1,0.0,False,,,,,,31962,44,87,77726,700
58,1996-08-23,monthly,Rokycany,1,0.0,False,,,,,,5804,1,54,28954,-2204
59,1994-03-27,monthly,Hradec Kralove,1,0.0,False,,,,,,21424,15,123,89720,600
61,1993-12-11,monthly,Karvina,2,0.0,False,,,,,,4019,49,117,31765,700
62,1993-03-28,monthly,Pardubice,1,0.0,False,,,,,,5079,65,135,36366,1100
63,1996-11-16,monthly,Domazlice,2,0.0,False,,,,,,5024,60,47,37303,600
64,1997-03-11,monthly,Zlin,1,0.0,False,,,,,,34850,59,30,79559,200
65,1996-10-29,monthly,Liberec,1,1.0,False,,,,,,36885,10,53,85379,600
67,1994-10-19,monthly,Jindrichuv Hradec,1,0.0,True,165960.0,6915.0,24.0,A,False,62235,58,102,134939,700
69,1996-01-12,monthly,Zlin,1,0.0,False,,,,,,43725,6,123,71708,600
70,1995-02-18,monthly,Mlada Boleslav,2,0.0,False,,,,,,13630,25,101,60184,500
71,1994-03-05,monthly,Hl.m. Praha,2,1.0,False,,,,,,32576,69,118,94860,700
73,1993-11-08,monthly,Olomouc,1,1.0,False,,,,,,28667,54,128,89175,400
75,1995-08-13,monthly,Hl.m. Praha,1,0.0,False,,,,,,18825,48,82,49848,700
76,1996-05-16,monthly,Usti nad Orlici,1,0.0,False,,,,,,11720,48,73,49609,200
77,1996-11-19,monthly,Vyskov,1,0.0,False,,,,,,25635,47,52,56325,400
78,1993-07-07,monthly,Ostrava - mesto,1,0.0,False,,,,,,26217,48,137,78733,400
79,1996-11-29,monthly,Beroun,1,0.0,False,,,,,,4182,44,47,27474,600
80,1995-09-27,monthly,Hradec Kralove,2,0.0,False,,,,,,3378,3,75,28082,900
81,1996-07-18,monthly,Ostrava - mesto,1,0.0,False,,,,,,9300,27,74,39080,1000
82,1994-05-03,monthly,Plzen - mesto,1,0.0,False,,,,,,49581,54,144,161574,300
83,1993-04-16,monthly,Plzen - mesto,2,0.0,False,,,,,,13839,36,147,42435,500
85,1997-03-23,monthly,Frydek - Mistek,1,0.0,False,,,,,,8945,16,54,59467,400
86,1993-03-07,monthly,Brno - mesto,2,0.0,False,,,,,,3243,11,141,28700,800
88,1996-07-03,monthly,Tachov,1,0.0,False,,,,,,3403,13,61,27174,300
89,1997-09-25,monthly,Frydek - Mistek,1,0.0,False,,,,,,12000,16,33,39075,600
90,1994-07-13,monthly,Hl.m. Praha,1,0.0,False,,,,,,36459,60,110,74107,500
91,1996-11-06,monthly,Pelhrimov,1,0.0,False,,,,,,45770,23,42,77111,-4188
93,1996-06-12,monthly,Benesov,1,0.0,False,,,,,,10782,27,66,38377,500
95,1995-03-30,monthly,Hl.m. Praha,2,1.0,False,,,,,,35890,7,92,97808,200
96,1993-02-18,monthly,Frydek - Mistek,2,1.0,False,,,,,,66332,55,146,156580,1100
97,1996-05-05,monthly,Ostrava - mesto,2,1.0,True,102876.0,8573.0,12.0,A,False,26892,46,67,67288,900
98,1997-05-02,monthly,Brno - venkov,2,0.0,False,,,,,,4557,17,41,25586,1100
99,1995-06-27,monthly,Hl.m. Praha,1,0.0,False,,,,,,49889,7,93,122885,600
100,1993-12-28,monthly,Usti nad Labem,1,0.0,False,,,,,,17837,12,145,84377,600
101,1996-04-16,monthly,Jablonec n. Nisou,1,0.0,False,,,,,,26796,49,71,81423,1000
102,1993-10-16,monthly,Praha - zapad,1,0.0,False,,,,,,48218,0,118,96777,-7104
103,1996-03-10,monthly,Chrudim,1,0.0,True,265320.0,7370.0,36.0,D,False,48308,16,84,124758,-1140
104,1993-04-15,monthly,Litomerice,2,0.0,False,,,,,,3063,42,133,31741,500
105,1997-07-10,monthly,Tabor,1,1.0,True,352704.0,7348.0,48.0,C,False,49101,38,30,74694,800
106,1994-11-27,monthly,Vyskov,1,1.0,False,,,,,,26648,15,99,76991,500
107,1993-11-05,monthly,Zlin,1,0.0,False,,,,,,10600,26,152,50612,1000
108,1995-03-10,monthly,Blansko,1,1.0,False,,,,,,23555,79,94,88609,800
109,1997-04-20,monthly,Blansko,1,1.0,False,,,,,,16920,27,70,53624,1100
110,1996-07-17,monthly,Liberec,1,1.0,True,162576.0,4516.0,36.0,C,False,35157,53,61,79652,900
112,1993-03-12,monthly,Kutna Hora,2,0.0,False,,,,,,6582,17,141,52895,200
113,1996-07-22,monthly,Brno - venkov,1,0.0,False,,,,,,6417,54,55,32697,600
114,1997-03-14,monthly,Prostejov,1,0.0,False,,,,,,4234,54,39,27332,500
115,1993-03-19,monthly,Frydek - Mistek,1,1.0,False,,,,,,11498,29,158,52047,800
116,1996-03-21,monthly,Mlada Boleslav,2,0.0,False,,,,,,34685,40,68,77466,800
117,1993-09-05,monthly,Tachov,1,0.0,False,,,,,,4903,20,129,32382,900
118,1997-09-18,monthly,Frydek - Mistek,1,0.0,False,,,,,,10900,29,37,40532,600
