"account_id","open_date","statement_frequency","district_name","num_customers","credit_cards","loan","loan_amount","loan_payments","loan_term","loan_status","loan_default","max_withdrawal","min_withdrawal","cc_payments","max_balance","min_balance"
1,"1995-03-24","monthly","Pisek",1,0,FALSE,NA,NA,NA,NA,NA,12600,19,102,30415,1000
2,"1993-02-26","monthly","Hl.m. Praha",2,0,TRUE,80952,3373,24,"A",FALSE,30354,14,152,69302,1100
3,"1997-07-07","monthly","Kolin",2,0,FALSE,NA,NA,NA,NA,NA,11253,24,46,53447,1000
4,"1996-02-21","monthly","Pribram",1,0,FALSE,NA,NA,NA,NA,NA,5553,61,65,34870,800
5,"1997-05-30","monthly","Cesky Krumlov",1,0,FALSE,NA,NA,NA,NA,NA,5017,4,35,32036,600
6,"1994-09-27","monthly","Trutnov",1,0,FALSE,NA,NA,NA,NA,NA,6669,70,99,51879,900
7,"1996-11-24","monthly","Prostejov",1,1,FALSE,NA,NA,NA,NA,NA,33975,30,51,99675,900
8,"1995-09-21","monthly","Hodonin",2,0,FALSE,NA,NA,NA,NA,NA,30712,37,84,79255,900
9,"1993-01-27","monthly","Karvina",1,0,FALSE,NA,NA,NA,NA,NA,45691,5,183,85444,400
10,"1996-08-28","monthly","Brno - mesto",1,0,FALSE,NA,NA,NA,NA,NA,26529,12,59,83410,1100
11,"1995-10-10","monthly","Sumperk",1,0,FALSE,NA,NA,NA,NA,NA,3494,10,79,40389,300
12,"1997-04-15","monthly","Tabor",2,0,FALSE,NA,NA,NA,NA,NA,5938,43,39,29053,1100
13,"1997-08-17","monthly","Sumperk",2,0,FALSE,NA,NA,NA,NA,NA,6803,45,31,29751,1000
14,"1996-11-27","monthly","Pardubice",1,1,FALSE,NA,NA,NA,NA,NA,22137,17,52,59453,400
15,"1993-10-02","monthly","Karvina",1,0,FALSE,NA,NA,NA,NA,NA,25598,62,129,66671,800
16,"1997-09-23","monthly","Pribram",1,0,FALSE,NA,NA,NA,NA,NA,31262,24,32,60274,500
17,"1997-01-08","monthly","Hl.m. Praha",2,0,FALSE,NA,NA,NA,NA,NA,49483,100,33,100815,700
19,"1995-04-07","monthly","Tabor",1,0,TRUE,30276,2523,12,"B",TRUE,22708,4,152,58158,-10605
20,"1996-08-24","monthly","Ostrava - mesto",1,0,FALSE,NA,NA,NA,NA,NA,3005,30,53,20458,500
21,"1997-12-06","monthly","Brno - mesto",1,0,FALSE,NA,NA,NA,NA,NA,14123,49,34,61685,1100
22,"1994-03-23","monthly","Hl.m. Praha",1,0,FALSE,NA,NA,NA,NA,NA,25310,27,118,68160,1100
23,"1993-05-22","monthly","Sokolov",1,0,FALSE,NA,NA,NA,NA,NA,33132,40,137,95299,800
24,"1996-12-05","monthly","Ostrava - mesto",1,0,FALSE,NA,NA,NA,NA,NA,18926,60,52,49091,1000
25,"1996-07-28","monthly","Frydek - Mistek",1,0,TRUE,30276,2523,12,"A",FALSE,49734,67,82,134210,900
26,"1993-08-08","monthly","Usti nad Orlici",1,0,FALSE,NA,NA,NA,NA,NA,37203,69,133,83469,800
27,"1993-09-26","monthly","Opava",1,0,FALSE,NA,NA,NA,NA,NA,12940,14,135,40464,900
29,"1994-11-24","monthly","Melnik",1,0,FALSE,NA,NA,NA,NA,NA,26667,29,130,59950,700
30,"1995-03-04","monthly","Liberec",1,0,FALSE,NA,NA,NA,NA,NA,49290,4,164,149154,400
31,"1994-04-27","monthly","Frydek - Mistek",1,0,FALSE,NA,NA,NA,NA,NA,49940,62,82,137131,800
32,"1995-08-28","monthly","Kolin",1,0,FALSE,NA,NA,NA,NA,NA,24822,13,131,90565,700
33,"1993-08-26","monthly","Domazlice",1,1,FALSE,NA,NA,NA,NA,NA,35384,22,127,123696,600
35,"1993-07-07","monthly","Prerov",1,0,FALSE,NA,NA,NA,NA,NA,5446,51,134,32520,600
36,"1993-07-01","monthly","Hl.m. Praha",1,0,FALSE,NA,NA,NA,NA,NA,29778,74,36,85055,500
37,"1997-08-18","monthly","Strakonice",1,0,TRUE,318480,5308,60,"D",FALSE,49437,38,48,104762,-1011
39,"1993-09-22","monthly","Liberec",1,0,FALSE,NA,NA,NA,NA,NA,6474,39,133,36322,1100
40,"1993-10-25","monthly","Zlin",1,0,FALSE,NA,NA,NA,NA,NA,9753,15,36,41560,700
41,"1997-08-02","monthly","Olomouc",1,0,FALSE,NA,NA,NA,NA,NA,25938,44,63,100992,800
42,"1996-08-16","monthly","Most",1,0,FALSE,NA,NA,NA,NA,NA,13659,37,112,45322,800
43,"1994-06-12","monthly","Liberec",1,1,FALSE,NA,NA,NA,NA,NA,35862,92,131,99572,1100
