"year","ageGroup","race","gender","population"
1900,0,"Nonwhite","Female",4576000
1900,0,"Nonwhite","Male",4618000
1900,0,"White","Female",32651000
1900,0,"White","Male",34249000
1900,1,"Nonwhite","Female",629000
1900,1,"Nonwhite","Male",623000
1900,1,"White","Female",3913000
1900,1,"White","Male",4016000
1900,2,"Nonwhite","Female",377000
1900,2,"Nonwhite","Male",375000
1900,2,"White","Female",2305000
1900,2,"White","Male",2356000
1900,3,"Nonwhite","Female",557000
1900,3,"Nonwhite","Male",564000
1900,3,"White","Female",3443000
1900,3,"White","Male",3522000
1900,4,"Nonwhite","Female",522000
1900,4,"Nonwhite","Male",494000
1900,4,"White","Female",3289000
1900,4,"White","Male",3263000
1900,5,"Nonwhite","Female",529000
1900,5,"Nonwhite","Male",486000
1900,5,"White","Female",3201000
1900,5,"White","Male",3167000
1900,6,"Nonwhite","Female",391000
1900,6,"Nonwhite","Male",386000
1900,6,"White","Female",2832000
1900,6,"White","Male",2963000
1900,7,"Nonwhite","Female",273000
1900,7,"Nonwhite","Male",286000
1900,7,"White","Female",2395000
1900,7,"White","Male",2635000
1900,8,"Nonwhite","Female",251000
1900,8,"Nonwhite","Male",260000
1900,8,"White","Female",2109000
1900,8,"White","Male",2376000
1900,9,"Nonwhite","Female",197000
1900,9,"Nonwhite","Male",205000
1900,9,"White","Female",1806000
1900,9,"White","Male",2069000
1900,10,"Nonwhite","Female",165000
1900,10,"Nonwhite","Male",188000
1900,10,"White","Female",1459000
1900,10,"White","Male",1663000
1900,11,"Nonwhite","Female",142000
1900,11,"Nonwhite","Male",171000
1900,11,"White","Female",1243000
1900,11,"White","Male",1406000
1900,12,"Nonwhite","Female",86000
1900,12,"Nonwhite","Male",106000
1900,12,"White","Female",985000
1900,12,"White","Male",1047000
1900,13,"Nonwhite","Female",80000
1900,13,"Nonwhite","Male",92000
1900,13,"White","Female",799000
1900,13,"White","Male",831000
1900,14,"Nonwhite","Female",50000
1900,14,"Nonwhite","Male",60000
1900,14,"White","Female",589000
1900,14,"White","Male",613000
1900,15,"Nonwhite","Female",38000
1900,15,"Nonwhite","Male",37000
1900,15,"White","Female",399000
1900,15,"White","Male",414000
1900,16,"Nonwhite","Female",289000
1900,16,"Nonwhite","Male",285000
1900,16,"White","Female",1884000
1900,16,"White","Male",1908000
1910,0,"Nonwhite","Female",5101000
1910,0,"Nonwhite","Male",5169000
1910,0,"White","Female",39752000
1910,0,"White","Male",42385000
1910,1,"Nonwhite","Female",656000
1910,1,"Nonwhite","Male",652000
1910,1,"White","Female",4614000
1910,1,"White","Male",4749000
1910,2,"Nonwhite","Female",395000
1910,2,"Nonwhite","Male",387000
1910,2,"White","Female",2570000
1910,2,"White","Male",2629000
1910,3,"Nonwhite","Female",595000
1910,3,"Nonwhite","Male",597000
1910,3,"White","Female",3931000
1910,3,"White","Male",4024000
1910,4,"Nonwhite","Female",569000
1910,4,"Nonwhite","Male",529000
1910,4,"White","Female",3983000
1910,4,"White","Male",4014000
1910,5,"Nonwhite","Female",566000
1910,5,"Nonwhite","Male",514000
1910,5,"White","Female",3938000
1910,5,"White","Male",4099000
1910,6,"Nonwhite","Female",475000
1910,6,"Nonwhite","Male",456000
1910,6,"White","Female",3488000
1910,6,"White","Male",3824000
1910,7,"Nonwhite","Female",348000
1910,7,"Nonwhite","Male",364000
1910,7,"White","Female",2992000
1910,7,"White","Male",3327000
1910,8,"Nonwhite","Female",325000
1910,8,"Nonwhite","Male",348000
1910,8,"White","Female",2729000
1910,8,"White","Male",3051000
1910,9,"Nonwhite","Female",233000
1910,9,"Nonwhite","Male",253000
1910,9,"White","Female",2261000
1910,9,"White","Male",2559000
1910,10,"Nonwhite","Female",194000
1910,10,"Nonwhite","Male",222000
1910,10,"White","Female",1915000
1910,10,"White","Male",2185000
1910,11,"Nonwhite","Female",153000
1910,11,"Nonwhite","Male",197000
1910,11,"White","Female",1652000
1910,11,"White","Male",1936000
1910,12,"Nonwhite","Female",99000
1910,12,"Nonwhite","Male",126000
1910,12,"White","Female",1210000
1910,12,"White","Male",1378000
1910,13,"Nonwhite","Female",90000
1910,13,"Nonwhite","Male",109000
1910,13,"White","Female",1000000
1910,13,"White","Male",1089000
1910,14,"Nonwhite","Female",57000
1910,14,"Nonwhite","Male",72000
1910,14,"White","Female",763000
1910,14,"White","Male",800000
1910,15,"Nonwhite","Female",41000
1910,15,"Nonwhite","Male",43000
1910,15,"White","Female",516000
1910,15,"White","Male",524000
1910,16,"Nonwhite","Female",305000
1910,16,"Nonwhite","Male",300000
1910,16,"White","Female",2190000
1910,16,"White","Male",2197000
1920,0,"Nonwhite","Female",5447000
1920,0,"Nonwhite","Male",5504000
1920,0,"White","Female",46723000
1920,0,"White","Male",48787000
1920,1,"Nonwhite","Female",605000
1920,1,"Nonwhite","Male",601000
1920,1,"White","Female",5137000
1920,1,"White","Male",5288000
1920,2,"Nonwhite","Female",395000
1920,2,"Nonwhite","Male",396000
1920,2,"White","Female",3061000
1920,2,"White","Male",3138000
1920,3,"Nonwhite","Female",628000
1920,3,"Nonwhite","Male",623000
1920,3,"White","Female",4652000
1920,3,"White","Male",4732000
1920,4,"Nonwhite","Female",597000
1920,4,"Nonwhite","Male",550000
1920,4,"White","Female",4225000
1920,4,"White","Male",4210000
1920,5,"Nonwhite","Female",576000
1920,5,"Nonwhite","Male",504000
1920,5,"White","Female",4132000
1920,5,"White","Male",4027000
1920,6,"Nonwhite","Female",527000
1920,6,"Nonwhite","Male",467000
1920,6,"White","Female",4150000
1920,6,"White","Male",4177000
1920,7,"Nonwhite","Female",383000
1920,7,"Nonwhite","Male",355000
1920,7,"White","Female",3579000
1920,7,"White","Male",3778000
1920,8,"Nonwhite","Female",392000
1920,8,"Nonwhite","Male",406000
1920,8,"White","Female",3322000
1920,8,"White","Male",3723000
1920,9,"Nonwhite","Female",309000
1920,9,"Nonwhite","Male",325000
1920,9,"White","Female",2824000
1920,9,"White","Male",3081000
1920,10,"Nonwhite","Female",229000
1920,10,"Nonwhite","Male",316000
1920,10,"White","Female",2412000
1920,10,"White","Male",2736000
1920,11,"Nonwhite","Female",180000
1920,11,"Nonwhite","Male",248000
1920,11,"White","Female",2050000
1920,11,"White","Male",2334000
1920,12,"Nonwhite","Female",112000
1920,12,"Nonwhite","Male",149000
1920,12,"White","Female",1583000
1920,12,"White","Male",1752000
1920,13,"Nonwhite","Female",90000
1920,13,"Nonwhite","Male",118000
1920,13,"White","Female",1332000
1920,13,"White","Male",1483000
1920,14,"Nonwhite","Female",61000
1920,14,"Nonwhite","Male",81000
1920,14,"White","Female",933000
1920,14,"White","Male",1003000
1920,15,"Nonwhite","Female",46000
1920,15,"Nonwhite","Male",50000
1920,15,"White","Female",645000
1920,15,"White","Male",661000
1920,16,"Nonwhite","Female",317000
1920,16,"Nonwhite","Male",315000
1920,16,"White","Female",2686000
1920,16,"White","Male",2664000
1930,0,"Nonwhite","Female",6290423
1930,0,"Nonwhite","Male",6227438
1930,0,"White","Female",54489801
1930,0,"White","Male",56069079
1930,1,"Nonwhite","Female",653517
1930,1,"Nonwhite","Male",645887
1930,1,"White","Female",4931576
1930,1,"White","Male",5141135
1930,2,"Nonwhite","Female",440060
1930,2,"Nonwhite","Male",435439
1930,2,"White","Female",3252623
1930,2,"White","Male",3357390
1930,3,"Nonwhite","Female",659533
1930,3,"Nonwhite","Male",654681
1930,3,"White","Female",5295915
1930,3,"White","Male",5430491
1930,4,"Nonwhite","Female",676121
1930,4,"Nonwhite","Male",625454
1930,4,"White","Female",5125371
1930,4,"White","Male",5145183
1930,5,"Nonwhite","Female",667512
1930,5,"Nonwhite","Male",591152
1930,5,"White","Female",4885033
1930,5,"White","Male",4771523
1930,6,"Nonwhite","Female",594210
1930,6,"Nonwhite","Male",539961
1930,6,"White","Female",4411018
1930,6,"White","Male",4348841
1930,7,"Nonwhite","Female",468289
1930,7,"Nonwhite","Male",448528
1930,7,"White","Female",4104363
1930,7,"White","Male",4123626
1930,8,"Nonwhite","Female",475075
1930,8,"Nonwhite","Male",454650
1930,8,"White","Female",4061175
1930,8,"White","Male",4227564
1930,9,"Nonwhite","Female",363273
1930,9,"Nonwhite","Male",367142
1930,9,"White","Female",3522823
1930,9,"White","Male",3798861
1930,10,"Nonwhite","Female",316165
1930,10,"Nonwhite","Male",343841
1930,10,"White","Female",3071044
1930,10,"White","Male",3344574
1930,11,"Nonwhite","Female",237462
1930,11,"Nonwhite","Male",297295
1930,11,"White","Female",2629315
1930,11,"White","Male",2855535
1930,12,"Nonwhite","Female",143293
1930,12,"Nonwhite","Male",190020
1930,12,"White","Female",2102122
1930,12,"White","Male",2262096
1930,13,"Nonwhite","Female",113288
1930,13,"Nonwhite","Male",142605
1930,13,"White","Female",1709803
1930,13,"White","Male",1812811
1930,14,"Nonwhite","Female",76407
1930,14,"Nonwhite","Male",89769
1930,14,"White","Female",1288650
1930,14,"White","Male",1339672
1930,15,"Nonwhite","Female",50763
1930,15,"Nonwhite","Male",54882
1930,15,"White","Female",916691
1930,15,"White","Male",943932
1930,16,"Nonwhite","Female",355455
1930,16,"Nonwhite","Male",346132
1930,16,"White","Female",3182279
1930,16,"White","Male",3165845
1940,0,"Nonwhite","Female",6859563
1940,0,"Nonwhite","Male",6634025
1940,0,"White","Female",58910520
1940,0,"White","Male",59718338
1940,1,"Nonwhite","Female",662169
1940,1,"Nonwhite","Male",655788
1940,1,"White","Female",4543811
1940,1,"White","Male",4716875
1940,2,"Nonwhite","Female",410049
1940,2,"Nonwhite","Male",406164
1940,2,"White","Female",2704988
1940,2,"White","Male",2800311
1940,3,"Nonwhite","Female",700251
1940,3,"Nonwhite","Male",694419
1940,3,"White","Female",5077092
1940,3,"White","Male",5243196
1940,4,"Nonwhite","Female",703664
1940,4,"Nonwhite","Male",663766
1940,4,"White","Female",5441406
1940,4,"White","Male",5533801
1940,5,"Nonwhite","Female",669231
1940,5,"Nonwhite","Male",580428
1940,5,"White","Female",5237385
1940,5,"White","Male",5203317
1940,6,"Nonwhite","Female",635056
1940,6,"Nonwhite","Male",560239
1940,6,"White","Female",5029774
1940,6,"White","Male",4931192
1940,7,"Nonwhite","Female",540811
1940,7,"Nonwhite","Male",497629
1940,7,"White","Female",4651397
1940,7,"White","Male",4599851
1940,8,"Nonwhite","Female",539551
1940,8,"Nonwhite","Male",493269
1940,8,"White","Female",4283520
1940,8,"White","Male",4280335
1940,9,"Nonwhite","Female",429920
1940,9,"Nonwhite","Male",426055
1940,9,"White","Female",3956653
1940,9,"White","Male",4012363
1940,10,"Nonwhite","Female",358296
1940,10,"Nonwhite","Male",369069
1940,10,"White","Female",3698217
1940,10,"White","Male",3848150
1940,11,"Nonwhite","Female",277521
1940,11,"Nonwhite","Male",303168
1940,11,"White","Female",3241045
1940,11,"White","Male",3459152
1940,12,"Nonwhite","Female",209704
1940,12,"Nonwhite","Male",234310
1940,12,"White","Female",2654089
1940,12,"White","Male",2805395
1940,13,"Nonwhite","Female",161603
1940,13,"Nonwhite","Male",180696
1940,13,"White","Female",2199403
1940,13,"White","Male",2248986
1940,14,"Nonwhite","Female",122922
1940,14,"Nonwhite","Male",135013
1940,14,"White","Female",1774946
1940,14,"White","Male",1748899
1940,15,"Nonwhite","Female",81766
1940,15,"Nonwhite","Male",88126
1940,15,"White","Female",1225529
1940,15,"White","Male",1189486
1940,16,"Nonwhite","Female",357049
1940,16,"Nonwhite","Male",345886
1940,16,"White","Female",3191265
1940,16,"White","Male",3097029
1950,0,"Nonwhite","Female",8286993
1950,0,"Nonwhite","Male",8000907
1950,0,"White","Female",68135412
1950,0,"White","Male",67848105
