"VAR","Year","Value"
"ENER",1990,5325587.446
"ENER",1991,5281645.655
"ENER",1992,5386948.886
"ENER",1993,5478995.349
"ENER",1994,5566579.412
"ENER",1995,5611813.836
"ENER",1996,5800346.655
"ENER",1997,5871291.242
"ENER",1998,5910410.896
"ENER",1999,5970029.016
"ENER",2000,6176597.693
"ENER",2001,6089505.235
"ENER",2002,6120717.403
"ENER",2003,6190240.326
"ENER",2004,6285299.951
"ENER",2005,6302258.01
"ENER",2006,6221030.447
"ENER",2007,6290185.931
"ENER",2008,6098344.795
"ENER",2009,5693565.631
"ENER",2010,5861733.892
"ENER",2011,5708287.703
"ENER",2012,5494158.474
"ENER",2013,5635294.608
"ENER",2014,5675499.808
"ENER",2015,5519818.095
"ENER",2016,5390865.115
"ENER",2017,5351002.269
"ENER",2018,5518135.678
"ENER",2019,5392272.24
"AGR",1990,555342.785
"AGR",1991,546588.623
"AGR",1992,547359.053
"AGR",1993,575373.861
"AGR",1994,562247.628
"AGR",1995,574598.748
"AGR",1996,581868.99
"AGR",1997,570034.597
"AGR",1998,578089.94
"AGR",1999,571174.127
"AGR",2000,556880.868
"AGR",2001,576299.175
"AGR",2002,578274.23
"AGR",2003,577025.903
"AGR",2004,584456.71
"AGR",2005,577093.152
"AGR",2006,572530.581
"AGR",2007,592359.866
"AGR",2008,584784.836
"AGR",2009,588164.005
"AGR",2010,596334.014
"AGR",2011,577458.298
"AGR",2012,559824.785
"AGR",2013,600528.262
"AGR",2014,610038.3
"AGR",2015,616096.967
"AGR",2016,604414.225
"AGR",2017,605548.028
"AGR",2018,620960.125
"AGR",2019,628616.771
"WAS",1990,216166.846
"WAS",1991,219297.564
"WAS",1992,219972.748
"WAS",1993,218487.667
"WAS",1994,219274.387
"WAS",1995,214731.578
"WAS",1996,211741.46
"WAS",1997,202738.896
"WAS",1998,193981.4
"WAS",1999,188468.313
"WAS",2000,185754.725
"WAS",2001,181011.127
"WAS",2002,180077.301
"WAS",2003,182962.643
"WAS",2004,180958.81
"WAS",2005,178015.181
"WAS",2006,176353.398
"WAS",2007,174423.836
"WAS",2008,172174.491
"WAS",2009,169373.003
"WAS",2010,170527.398
"WAS",2011,162155.411
"WAS",2012,164290.322
"WAS",2013,160758.426
"WAS",2014,160579.6
"WAS",2015,159786.549
"WAS",2016,157084.691
"WAS",2017,159042.153
"WAS",2018,161078.195
"WAS",2019,163748.203
"IND_PROC",1990,345553.549
"IND_PROC",1991,326089.292
"IND_PROC",1992,332063.149
"IND_PROC",1993,331493.013
"IND_PROC",1994,343721.403
"IND_PROC",1995,374716.083
"IND_PROC",1996,387208.271
"IND_PROC",1997,392443.305
"IND_PROC",1998,400787.031
"IND_PROC",1999,395727.573
"IND_PROC",2000,394383.207
"IND_PROC",2001,356140.977
"IND_PROC",2002,365232.956
"IND_PROC",2003,351134.308
"IND_PROC",2004,364755.636
"IND_PROC",2005,365664.686
"IND_PROC",2006,374548.421
"IND_PROC",2007,392646.392
"IND_PROC",2008,369344.858
"IND_PROC",2009,320897.431
"IND_PROC",2010,362511.037
"IND_PROC",2011,379501.009
"IND_PROC",2012,367634.184
"IND_PROC",2013,368087.814
"IND_PROC",2014,378839.002
"IND_PROC",2015,375410.454
"IND_PROC",2016,367973.808
"IND_PROC",2017,367698.88
"IND_PROC",2018,371275.402
"IND_PROC",2019,373707.966
